Code,Name,Agreement,Auditor,Change,Debt,Delist,GEM,Halt,Insurance,Litigation,Loan,Potential Issue,Report,Resignation,Restriction,Restructure,Resumption,RTO,Share,Transaction,Long-stop,Offshore,Special Dividend,Specific Mandate,Fluctuation,Voting,IPO
00042,Northeast Electric Development Co. Ltd. - H Shares,Y,N,N,N,N,N,Y,N,N,N,Y,Y,N,N,N,N,N,N,Y,N,Y,N,Y,N,N,N
00043,C. P. Pokphand Co. Ltd.,N,N,N,Y,N,N,Y,N,N,Y,Y,Y,N,N,Y,N,N,N,Y,N,N,N,N,Y,N,N
00044,Hong Kong Aircraft Engineering Co. Ltd.,N,N,N,N,N,N,N,N,N,N,N,Y,N,N,N,N,N,N,Y,N,N,N,N,N,N,N
00045,"Hongkong and Shanghai Hotels, Ltd., The",N,N,Y,N,N,N,N,N,N,N,N,Y,N,N,N,N,N,N,Y,N,N,N,N,N,N,N
00046,Computer And Technologies Holdings Ltd.,N,N,N,N,N,N,N,N,N,N,N,Y,N,N,N,N,N,N,Y,N,N,N,N,N,N,N
00047,Hop Hing Group Holdings Ltd.,N,N,Y,N,N,N,N,N,N,N,Y,Y,N,N,N,N,N,N,N,N,N,N,N,N,N,N
00048,China Automotive Interior Decoration Holdings Ltd.,N,N,Y,N,N,Y,Y,N,N,N,Y,Y,N,N,N,N,N,N,Y,N,N,N,N,Y,N,N
00050,Hong Kong Ferry (Holdings) Co. Ltd.,N,N,N,N,N,N,N,N,N,N,N,Y,N,N,N,N,N,N,Y,N,N,N,N,N,N,N
00051,Harbour Centre Development Ltd.,N,N,N,N,N,N,N,N,N,N,N,Y,N,N,N,N,N,N,Y,N,N,N,N,N,N,N
00052,Fairwood Holdings Ltd.,N,N,N,N,N,N,N,N,N,N,N,Y,N,N,N,N,N,Y,Y,N,N,N,N,N,N,N
00053,Guoco Group Ltd.,N,N,N,Y,N,N,Y,N,N,N,N,Y,N,N,N,N,N,N,Y,N,Y,N,N,N,N,N
00054,Hopewell Holdings Ltd.,N,N,Y,N,N,N,N,N,N,N,N,Y,N,N,N,N,N,Y,N,N,N,N,N,N,N,N
00055,Neway Group Holdings Ltd.,N,N,N,N,N,N,Y,N,Y,N,Y,Y,N,N,Y,N,N,N,Y,N,N,N,N,Y,N,N
00056,Allied Properties (HK) Ltd.,N,N,N,N,N,N,Y,N,N,N,Y,Y,N,N,N,N,N,Y,Y,N,N,N,N,N,N,N
00057,Chen Hsong Holdings Ltd.,N,N,N,N,N,N,N,N,N,N,Y,Y,N,N,N,N,N,N,Y,N,N,N,N,N,N,N
00058,Sunway International Holdings Ltd.,N,Y,Y,N,N,N,N,N,Y,N,Y,Y,N,N,Y,N,N,Y,Y,N,N,N,N,Y,N,N
00059,Skyfame Realty (Holdings) Ltd.,N,N,N,Y,N,N,N,N,N,Y,Y,Y,N,N,N,N,N,Y,Y,N,N,N,N,Y,N,N
00060,Hong Kong Food Investment Holdings Ltd.,N,N,N,N,N,N,N,N,N,N,Y,Y,N,N,N,N,N,N,Y,N,N,N,N,N,N,N
00061,North Asia Resources Holdings Ltd.,N,N,Y,N,N,N,Y,N,N,N,Y,Y,N,N,Y,N,N,Y,Y,N,N,N,Y,Y,N,N
00062,Transport International Holdings Ltd.,N,N,Y,N,N,N,N,N,N,N,N,Y,N,N,N,N,N,N,Y,N,N,N,N,N,N,N
00063,China Graphene Group Ltd.,N,N,Y,N,N,N,Y,N,N,Y,N,Y,N,N,N,N,N,Y,Y,N,N,N,N,Y,N,N
00064,Get Nice Holdings Ltd.,N,N,N,N,N,N,N,N,N,N,Y,Y,N,N,Y,N,N,Y,Y,N,N,N,N,Y,N,N
00065,Grand Ocean Advanced Resources Co. Ltd.,N,N,Y,N,N,N,Y,N,Y,N,Y,Y,N,N,Y,N,N,Y,Y,N,N,N,N,Y,N,N
00066,MTR Corporation Ltd.,N,N,Y,Y,N,N,Y,N,N,Y,N,Y,N,N,N,N,N,N,Y,N,N,N,N,N,N,N
00067,China Lumena New Materials Corp.,N,Y,Y,N,N,N,N,N,N,N,Y,Y,N,N,Y,N,N,Y,Y,N,Y,N,N,N,N,N
00068,Lee Hing Development Ltd.,N,N,N,N,N,N,N,N,N,N,Y,Y,N,N,N,N,N,Y,Y,N,N,N,N,Y,N,N
00069,Shangri-La Asia Ltd.,N,N,Y,N,N,N,Y,N,N,N,Y,Y,N,N,N,N,N,Y,Y,N,Y,N,N,N,N,N
00070,Neptune Group Ltd.,N,Y,Y,N,N,N,N,N,N,N,Y,Y,N,N,Y,N,N,Y,Y,N,N,N,N,N,N,N
00071,Miramar Hotel & Investment Co. Ltd.,N,N,N,N,N,N,N,N,N,N,N,Y,N,N,N,N,N,N,Y,N,N,N,N,N,N,N
00072,Modern Media Holdings Ltd.,N,Y,Y,N,N,N,N,N,N,N,Y,Y,N,N,Y,N,N,N,Y,N,N,N,N,Y,N,N
00073,Asian Citrus Holdings Ltd.,N,Y,N,N,N,N,Y,N,N,N,Y,Y,N,N,N,N,N,N,Y,N,Y,N,Y,N,N,N
00075,Y. T. Realty Group Ltd.,N,N,N,N,N,N,N,N,N,N,N,Y,N,N,N,N,N,N,Y,N,N,N,N,N,N,N
00076,South Sea Petroleum Holdings Ltd.,N,Y,N,N,N,N,N,N,N,N,Y,Y,N,N,Y,N,N,Y,Y,N,N,N,N,N,N,N
00077,AMS Public Transport Holdings Ltd.,N,N,N,N,N,N,N,N,N,N,Y,Y,N,N,N,N,N,N,Y,N,N,N,N,Y,N,N
00078,Regal Hotels International Holdings Ltd.,N,N,N,Y,N,N,N,N,N,N,Y,Y,N,N,N,N,N,Y,Y,N,N,N,N,N,N,N
00079,Century Legend (Holdings) Ltd.,N,N,N,N,N,N,N,N,N,N,Y,Y,N,N,N,N,N,N,Y,N,N,N,N,Y,N,N
00080,China New Economy Fund Ltd.,N,Y,N,Y,N,N,N,N,N,N,Y,Y,N,N,Y,N,N,Y,Y,N,N,N,Y,N,N,N
00081,China Overseas Grand Oceans Group Ltd.,N,N,N,Y,N,N,N,N,N,Y,Y,Y,N,N,N,N,N,N,Y,N,N,N,N,N,N,N
